w_ptmo,label,t,A_true,B_true,P_true,A_noisy,B_noisy,X_true
0.05,5% PTMO,0.0,0.097,0.08,0.0,0.09948357076505616,0.07930867849414408,0.0
0.05,5% PTMO,0.033444816053511704,0.09679286505884696,0.07979286505884696,0.00020713494115304145,0.10003130774935043,0.08740801434088709,0.0021354117644643515
0.05,5% PTMO,0.06688963210702341,0.09658670646207372,0.07958670646207372,0.00041329353792627895,0.09541593958845704,0.07841602167732782,0.004260758122951361
0.05,5% PTMO,0.1003344481605351,0.09638151734401885,0.07938151734401885,0.0006184826559811402,0.10427758142155581,0.08321869098978339,0.0063761098554757515
0.05,5% PTMO,0.13377926421404682,0.09617729090307399,0.07917729090307399,0.000822709096926015,0.09382991897339923,0.08189009112100382,0.00848153708171148
0.05,5% PTMO,0.16722408026755853,0.09597402038685118,0.07897402038685118,0.0010259796131488236,0.09365693192278887,0.0766453716189999,0.010577109413905357
0.05,5% PTMO,0.2006688963210702,0.09577169911613698,0.07877169911613698,0.0012283008838630267,0.09698151047396715,0.06920529789284799,0.012662895709928103
0.05,5% PTMO,0.23411371237458192,0.09557032049270923,0.07857032049270923,0.0014296795072907685,0.08694573133014408,0.07575888284650437,0.01473896399268833
0.05,5% PTMO,0.26755852842809363,0.09536987797472005,0.07836987797472005,0.0016301220252799595,0.09030572237304793,0.07994111463769642,0.016805381703917075
0.05,5% PTMO,0.3010033444816053,0.09517036507667873,0.07817036507667872,0.0018296349233212755,0.09063024469907267,0.07110884657000227,0.018862215704343065
0.05,5% PTMO,0.33444816053511706,0.09497177536945185,0.07797177536945185,0.0020282246305481574,0.10230001921405962,0.07684289386701917,0.020909532273692272
0.05,5% PTMO,0.36789297658862874,0.09477410248026319,0.07777410248026319,0.002225897519736813,0.09511174350370281,0.0706503615491959,0.0229473971106888
0.05,5% PTMO,0.4013377926421404,0.09457734009269379,0.07757734009269379,0.002422659907306214,0.09185542647006788,0.07813195304124312,0.02497587533305371
0.05,5% PTMO,0.43478260869565216,0.0943814819466819,0.0773814819466819,0.0026185180533180976,0.0886265140595704,0.07925997203841026,0.026995031477506187
0.05,5% PTMO,0.46822742474916385,0.09418652183852304,0.07718652183852304,0.002813478161476968,0.09118332838892901,0.07572805308955666,0.029004929499762525
0.05,5% PTMO,0.5016722408026756,0.09399245362086991,0.07699245362086991,0.003007546379130094,0.09098392055972293,0.0862538445434146,0.031005632774536992
0.05,5% PTMO,0.5351170568561873,0.0937992712027325,0.0767992712027325,0.003200728797267508,0.09373178507904283,0.07151071655795299,0.03299720409554126
0.05,5% PTMO,0.568561872909699,0.09360696854947799,0.07660696854947799,0.003393031450522012,0.09771969310999394,0.07050275029962287,0.034979705675484675
